,,,,,,,,,,,,,,,,glxy_SS_IH     <> glxy_pin2,glxy_OSC       <> glxy_pin3,glxy_OUTS      <> glxy_pin4S,glxy_OUTF      <> glxy_pin4F,glxy_VCCS      <> glxy_pin5S,glxy_VCCF      <> glxy_pin5F,glxy_BOOT      <> glxy_pin6,glxy_COMP      <> glxy_pin7,glxy_FB        <> glxy_pin8,glxy_PT        <> glxy_PT,Abs comp       <> ABS_COM,Abs fb         <> ABS_FB,Ref bef zap    <> REF_BE,sim1 ... <> Simule_1,sim2 ... <> Simule_2,sim3 ... <> Simule_3,sim4 ... <> Simule_4,sim5 ... <> Simule_5,sim6 ... <> Simule_6,sim7 ... <> Simule_7,sim8 ... <> Simule_8,sim9 ... <> Simule_9,sim10 ... <> Simule_10,sim11 ... <> Simule_11,sim12 ... <> Simule_12,sim13 ... <> Simule_13,sim14 ... <> Simule_14,sim15 ... <> Simule_15,Ref best     <> REF_BEST_SIM,indice        <> REF_FLAG,Zap current   <> ZAP_REF,Ref aft zap     <> REF,Ref recovery    <> VREF_REC,Ref precision   <> VREF_TGT,Line 8/55v      <> LN_REG,Iq dut_cycle=0  <> IQ,Iq st_by 24v    <> IQ_SBY_24,Iq st_by 55v    <> IQ_SBY_55,Abs supply      <> ABS_VCC,Iq tot          <> IQ_TOT,Freq at 8v      <> FQ_1,Uvlo up th      <> UVLO_UP,Uvlo hysteresis  <> UVLO_HYS,Freq at 55v     <> FQ_2,Freq stability  <> FQ_STAB,Freq max        <> FQ_MAX,I inh low       <> I_IH_LO,Inh th up        <> INH_TH_UP,Inh th down      <> INH_TH_DOWN,Inh hyste        <> INH_HYS,Iss charge      <> SS_ICH,Iss discharge    <> SS_IDCH,Lkg Mos          <> LK_PWR,Abs out          <> OUT_MAX,Abs boot         <> ABS_BOOT,Lkg boot Mos off <> IBOOT_OFF,Lkg boot         <> LKG_BOOT,Drop of the Mos <> DROP_10V,Rds on          <> RDS_ON,Imax bef zap	 <> IMAX,Imax aft zap   <> IMAX_AFT,Imax precision   <> IMAX_TGT,Max duty cycle  <> MAX_DUT,Osc val 24v     <> OSC_VL24,Osc pk 55v       <> OSC_PK55,Osc pk 8v        <> OSC_PK8,Gain op_loop     <> EA_OLG,Svrr             <> EA_SVRR,Bias EA         <> EA_BIAS,Transcond       <> EA_TRANS,EA swing high   <> EA_SWH,EA swing low	 <> EA_SWL,Src out I       <> EA_SRC,Sink out I      <> EA_SNK
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,25,-3,7,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,26,-3,8,First,1,1,None,0,-0.6610937714576721,-0.6495312452316284,-0.6876562237739563,-0.6939062476158142,-0.5542187690734863,-0.5760937333106995,-0.6860937476158142,-0.6564062237739563,-0.6926562786102295,-0.7919531464576721,-0.0002693750138860196,-2.0487500478338916e-06,3.3965625762939453,3.368359327316284,3.2858593463897705,3.313359260559082,3.4228124618530273,3.507187604904175,3.4778125286102295,3.4490625858306885,3.362109422683716,3.390937566757202,3.338984489440918,3.310859441757202,3.395312547683716,3.4778125286102295,3.3896875381469727,3.419062614440918,3.368359327316284,1.0,0.8051249980926514,3.3689844608306885,-0.027578124776482582,0.002673921175301075,0.0031250000465661287,0.003133124904707074,0.0001203124993480742,0.00014531250053551048,0.000157812493853271,0.0031664061825722456,95941.7421875,7.25,0.0,99361.8203125,0.03442046418786049,427067.8125,-6.579843557119602e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.0049999370239675e-05,9.956250323739368e-06,-2.890625000873115e-05,-0.019664062187075615,0.0001179687533294782,4.6875000407453626e-05,0.000618046848103404,0.2336718738079071,0.15578125417232513,2.4100000858306885,2.4100000858306885,-0.035999998450279236,0.9820031523704529,0.8600000143051147,9.529999732971191,2.130000114440918,59.00648880004883,82.78050231933594,2.124218781318632e-06,0.0021621622145175934,11.103437423706055,0.12109375,-0.00023635156685486436,0.0003051171952392906
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,27,-3,9,First,8,8,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,28,-3,10,First,1,1,None,0,-0.6610937714576721,-0.6495312452316284,-0.6876562237739563,-0.6932812333106995,-0.5542187690734863,-0.5767187476158142,-0.6860937476158142,-0.6564062237739563,-0.6926562786102295,-0.7932031154632568,-0.0002631249953992665,-2.0237500848452328e-06,3.3846094608306885,3.385312557220459,3.302734375,3.302734375,3.411562442779541,3.495312452316284,3.4653124809265137,3.465937614440918,3.3789844512939453,3.3796093463897705,3.3277344703674316,3.328359365463257,3.411562442779541,3.495312452316284,3.4071874618530273,3.4071874618530273,3.3789844512939453,8.0,0.8185937404632568,3.3508594036102295,-0.03375000134110451,-0.0027204242069274187,0.003100000089034438,0.003083124989643693,0.0001203124993480742,0.00014531250053551048,0.00016406249778810889,0.0031164062675088644,96227.6796875,7.25,0.0,99453.1953125,0.03243248537182808,427649.875,-6.712187314406037e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-3.65999985660892e-05,9.806250091060065e-06,-2.890625000873115e-05,-0.019651561975479126,0.0001179687533294782,4.6875000407453626e-05,0.0006117968587204814,0.2336718738079071,0.15578125417232513,2.390000104904175,2.390000104904175,-0.04399999976158142,0.9819466471672058,0.8600000143051147,9.529999732971191,2.130000114440918,58.32387924194336,82.87648010253906,1.8684374936128734e-06,0.0021052630618214607,11.035937309265137,0.12284374982118607,-0.0002287187526235357,0.00029717187862843275
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,29,-3,11,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,30,-3,12,First,2,2,None,0,-0.6617187261581421,-0.6507812738418579,-0.688281238079071,-0.6964062452316284,-0.5542187690734863,-0.5767187476158142,-0.686718761920929,-0.657031238079071,-0.6926562786102295,-0.7944531440734863,-0.0002693750138860196,-2.133750058419537e-06,3.385312557220459,3.357734441757202,3.2752344608306885,3.302109479904175,3.411562442779541,3.495312452316284,3.465937614440918,3.437187433242798,3.3508594036102295,3.3796093463897705,3.3277344703674316,3.300234317779541,3.383359432220459,3.466562509536743,3.378359317779541,3.4071874618530273,3.378359317779541,14.0,0.8176093697547913,3.377734422683716,-0.007578125223517418,0.0052780876867473125,0.0031624999828636646,0.003165625035762787,0.00012656250328291208,0.00015156250447034836,0.00017031250172294676,0.0032164063304662704,96152.2265625,,,99243.671875,0.031150024384260178,427529.8125,-6.788437531213276e-06,2.059999942779541,1.3600000143051147,0.699999988079071,-4.097499913768843e-05,9.9062499430147e-06,-0.0003946874930988997(F),,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,33,-4,13,First,2,2,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,32,-4,14,First,20,20,None,0,-0.6617187261581421,-0.6507812738418579,-0.6876562237739563,-0.6920312643051147,-0.555468738079071,-0.5767187476158142,-0.6873437762260437,-0.6564062237739563,-0.6920312643051147,-0.7950780987739563,-0.00027187500381842256,-2.022499984377646e-06,3.3827342987060547,3.352734327316284,3.2733592987060547,3.3008594512939453,3.409062385559082,3.492812395095825,3.4628124237060547,3.434687614440918,3.3483593463897705,3.3771092891693115,3.325859308242798,3.2983593940734863,3.381484270095825,3.463437557220459,3.375234365463257,3.401562452316284,3.375234365463257,14.0,0.8231562376022339,3.375859260559082,-0.006874999962747097,0.0047200522385537624,0.0037124999798834324,0.003165625035762787,0.0001203124993480742,0.00014531250053551048,0.000157812493853271,0.003203906351700425,96127.6640625,7.25,0.0,99445.7109375,0.0333654023706913,427844.875,-6.608593594137346e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.0175000322051346e-05,9.981249604607001e-06,-2.890625000873115e-05,-0.02025156281888485,0.0001179687533294782,4.812499901163392e-05,0.0006192968576215208,0.23054687678813934,0.1536979228258133,2.4700000286102295,2.4700000286102295,-0.012000000104308128,0.9819748997688293,0.9100000262260437(F),,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,31,-4,15,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,30,-4,16,First,1,1,None,0,-0.6623437404632568,-0.6507812738418579,-0.688281238079071,-0.6951562762260437,-0.5567968487739563,-0.5779687762260437,-0.6873437762260437,-0.657031238079071,-0.6926562786102295,-0.7938281297683716,-0.00027187500381842256,-2.0325001059973147e-06,3.390937566757202,3.3633594512939453,3.2808594703674316,3.307734489440918,3.416562557220459,3.5009374618530273,3.4703125953674316,3.4434375762939453,3.3564844131469727,3.385937452316284,3.333359479904175,3.305859327316284,3.3896875381469727,3.4721875190734863,3.383359432220459,3.413437604904175,3.3633594512939453,1.0,0.8076249957084656,3.3633594512939453,-0.027578124776482582,0.0009998140158131719,0.003000000026077032,0.0030981251038610935,0.0001203124993480742,0.00015156250447034836,0.00017031250172294676,0.003141406225040555,96373.9140625,,,99439.8828125,0.03083241544663906,427683.125,-6.703437520627631e-06,2.0999999046325684,1.3799999952316284,0.7200000286102295,-3.957499939133413e-05,9.956250323739368e-06,-5.765624882769771e-05,-0.020814063027501106,0.0001179687533294782,4.437499956111424e-05,0.0006267968565225601,0.2311718761920929,0.15411458909511566,2.450000047683716,2.450000047683716,-0.019999999552965164,0.9819466471672058,0.8600000143051147,9.529999732971191,2.130000114440918,58.47437286376953,82.9735336303711,1.9582812456064858e-06,0.0021621622145175934,11.073437690734863,0.12209375202655792,-0.0002391640591667965,0.0003019296855200082
