,,,,,,,,,,,,,,,,glxy_SS_IH     <> glxy_pin2,glxy_OSC       <> glxy_pin3,glxy_OUTS      <> glxy_pin4S,glxy_OUTF      <> glxy_pin4F,glxy_VCCS      <> glxy_pin5S,glxy_VCCF      <> glxy_pin5F,glxy_BOOT      <> glxy_pin6,glxy_COMP      <> glxy_pin7,glxy_FB        <> glxy_pin8,glxy_PT        <> glxy_PT,Abs comp       <> ABS_COM,Abs fb         <> ABS_FB,Ref bef zap    <> REF_BE,sim1 ... <> Simule_1,sim2 ... <> Simule_2,sim3 ... <> Simule_3,sim4 ... <> Simule_4,sim5 ... <> Simule_5,sim6 ... <> Simule_6,sim7 ... <> Simule_7,sim8 ... <> Simule_8,sim9 ... <> Simule_9,sim10 ... <> Simule_10,sim11 ... <> Simule_11,sim12 ... <> Simule_12,sim13 ... <> Simule_13,sim14 ... <> Simule_14,sim15 ... <> Simule_15,Ref best     <> REF_BEST_SIM,indice        <> REF_FLAG,Zap current   <> ZAP_REF,Ref aft zap     <> REF,Ref recovery    <> VREF_REC,Ref precision   <> VREF_TGT,Line 8/55v      <> LN_REG,Iq dut_cycle=0  <> IQ,Iq st_by 24v    <> IQ_SBY_24,Iq st_by 55v    <> IQ_SBY_55,Abs supply      <> ABS_VCC,Iq tot          <> IQ_TOT,Freq at 8v      <> FQ_1,Uvlo up th      <> UVLO_UP,Uvlo hysteresis  <> UVLO_HYS,Freq at 55v     <> FQ_2,Freq stability  <> FQ_STAB,Freq max        <> FQ_MAX,I inh low       <> I_IH_LO,Inh th up        <> INH_TH_UP,Inh th down      <> INH_TH_DOWN,Inh hyste        <> INH_HYS,Iss charge      <> SS_ICH,Iss discharge    <> SS_IDCH,Lkg Mos          <> LK_PWR,Abs out          <> OUT_MAX,Abs boot         <> ABS_BOOT,Lkg boot Mos off <> IBOOT_OFF,Lkg boot         <> LKG_BOOT,Drop of the Mos <> DROP_10V,Rds on          <> RDS_ON,Imax bef zap	 <> IMAX,Imax aft zap   <> IMAX_AFT,Imax precision   <> IMAX_TGT,Max duty cycle  <> MAX_DUT,Osc val 24v     <> OSC_VL24,Osc pk 55v       <> OSC_PK55,Osc pk 8v        <> OSC_PK8,Gain op_loop     <> EA_OLG,Svrr             <> EA_SVRR,Bias EA         <> EA_BIAS,Transcond       <> EA_TRANS,EA swing high   <> EA_SWH,EA swing low	 <> EA_SWL,Src out I       <> EA_SRC,Sink out I      <> EA_SNK
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,25,-18,481,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,24,-18,482,First,1,1,None,0,-0.6623437404632568,-0.6526562571525574,-0.7014062404632568,-0.7076562643051147,-0.5586718916893005,-0.5811718702316284,-0.6892187595367432,-0.6583593487739563,-0.6932031512260437,-0.798828125,-0.000273281242698431,-2.0415625385794556e-06,3.400937557220459,3.3734374046325684,3.2908594608306885,3.318359375,3.427187442779541,3.5110156536102295,3.481640577316284,3.452812433242798,3.366562604904175,3.395312547683716,3.343437433242798,3.315234422683716,3.399062395095825,3.481640577316284,3.393437385559082,3.4228124618530273,3.3734374046325684,1.0,0.8141250014305115,3.3734374046325684,-0.027499999850988388,0.0039992560632526875,0.004126562271267176,0.003115624887868762,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.0031406250782310963,96162.7421875,,,99485.3515625,0.033397991210222244,429005.40625,-6.6078123381885234e-06,2.0999999046325684,1.399999976158142,0.699999988079071,-3.997499879915267e-05,9.9062499430147e-06,-2.8593749448191375e-05,-0.013837499544024467,0.00011718749738065526,4.812499901163392e-05,0.0006160937482491136,0.2286718785762787,0.1524479240179062,2.4700000286102295,2.4700000286102295,-0.012000000104308128,0.9819748997688293,0.8600000143051147,9.529999732971191,2.130000114440918,58.920833587646484,82.80838775634766,2.0495313037827145e-06,0.0021621622145175934,11.115625381469727,0.12134374678134918,-0.00024130468955263495,0.00030535156838595867
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,23,-18,483,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,22,-18,484,First,1,1,None,0,-0.6635937690734863,-0.6545312404632568,-0.7032812237739563,-0.710156261920929,-0.5599218606948853,-0.5811718702316284,-0.6898437738418579,-0.6583593487739563,-0.6932031512260437,-0.7994531393051147,-0.00027453125221654773,-1.974062570297974e-06,3.3915624618530273,3.364687442779541,3.2827343940734863,3.310234308242798,3.4184374809265137,3.501640558242798,3.4728124141693115,3.4434375762939453,3.3578124046325684,3.3865625858306885,3.334609270095825,3.3071093559265137,3.390937566757202,3.4721875190734863,3.3846874237060547,3.4140625,3.364687442779541,1.0,0.812375009059906,3.364687442779541,-0.026875000447034836,0.0013950893189758062,0.004714062437415123,0.0031356250401586294,0.0001203124993480742,0.00014531250053551048,0.00016406249778810889,0.0031531250569969416,96318.1484375,7.25,0.0,99555.453125,0.032517630606889725,429015.96875,-6.786562607885571e-06,2.0999999046325684,1.3799999952316284,0.7200000286102295,-3.894999827025458e-05,9.931250133377034e-06,-2.843750007741619e-05,-0.013235937803983688,0.00011718749738065526,4.812499901163392e-05,0.0006192187429405749,0.2286718785762787,0.1524479240179062,2.430000066757202,2.430000066757202,-0.02800000086426735,0.9819466471672058,0.8600000143051147,9.529999732971191,2.130000114440918,58.62752151489258,82.28579711914062,1.8801562191583798e-06,0.0021621622145175934,11.082812309265137,0.1223437488079071,-0.00024205468071158975,0.0003007265622727573
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,21,-18,485,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,20,-18,486,First,1,1,None,0,-0.6660937666893005,-0.6564062237739563,-0.7057812213897705,-0.7120312452316284,-0.5617969036102295,-0.5811718702316284,-0.6898437738418579,-0.658984363079071,-0.6938281059265137,-0.8000781536102295,-0.000273281242698431,-2.0040624804096296e-06,3.4021875858306885,3.374687433242798,3.2914843559265137,3.318984270095825,3.4284374713897705,3.512265682220459,3.4828906059265137,3.4540624618530273,3.3671875,3.395937442779541,3.344062566757202,3.3164844512939453,3.4003124237060547,3.4828906059265137,3.3946874141693115,3.424062490463257,3.374687433242798,1.0,0.8090000152587891,3.374687433242798,-0.027499999850988388,0.00437127985060215,0.003501562401652336,0.0031306250020861626,0.00011406250268919393,0.00014531250053551048,0.000157812493853271,0.0031531250569969416,96370.6875,,,99507.109375,0.031519565731287,429234.125,-6.642812422796851e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.007499956060201e-05,9.881249752652366e-06,-2.8124999516876414e-05,-0.012985937297344208,0.00011718749738065526,4.812499901163392e-05,0.0006192187429405749,0.2286718785762787,0.1524479240179062,2.430000066757202,2.430000066757202,-0.02800000086426735,0.9819324612617493,0.8600000143051147,9.529999732971191,2.130000114440918,59.18037414550781,82.2520523071289,1.937343768076971e-06,0.0021621622145175934,11.118124961853027,0.12184374779462814,-0.00024080468574538827,0.00030335155315697193
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,19,-18,487,First,20,20,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,18,-18,488,First,1,1,None,0,-0.6617187261581421,-0.6520312428474426,-0.7001562714576721,-0.7076562643051147,-0.5592968463897705,-0.5817968845367432,-0.6898437738418579,-0.6583593487739563,-0.6932031512260437,-0.7969531416893005,-0.0002770312421489507,-2.0315624169597868e-06,3.4053125381469727,3.377812385559082,3.294609308242798,3.3227343559265137,3.432187557220459,3.5160155296325684,3.486640691757202,3.457812547683716,3.370312452316284,3.3996875286102295,3.3478124141693115,3.3196094036102295,3.404062509536743,3.486640691757202,3.397812604904175,3.427187442779541,3.370312452316284,8.0,0.8193437457084656,3.3709375858306885,-0.03437500074505806,0.0032552082557231188,0.003264062572270632,0.003138124942779541,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.003165625035762787,96323.1015625,7.25,0.0,99539.1015625,0.032308872789144516,429331.6875,-6.559062512678793e-06,2.0799999237060547,1.3600000143051147,0.7200000286102295,-3.994999860879034e-05,1.0156250027648639e-05,-2.8124999516876414e-05,-0.014000000432133675,0.00011718749738065526,4.812499901163392e-05,0.0006173437577672303,0.22929687798023224,0.15286459028720856,2.4700000286102295,2.4700000286102295,-0.012000000104308128,0.9819466471672058,0.8600000143051147,9.529999732971191,2.130000114440918,58.484500885009766,82.681640625,1.959687551789102e-06,0.002222222276031971,11.09781265258789,0.12109375,-0.00024292968737427145,0.00030447656172327697
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,17,-18,489,First,20,20,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,16,-18,490,First,1,1,None,0,-0.6623437404632568,-0.6526562571525574,-0.7001562714576721,-0.7064062356948853,-0.5599218606948853,-0.5811718702316284,-0.6898437738418579,-0.6583593487739563,-0.6932031512260437,-0.7969531416893005,-0.00027453125221654773,-2.0378124645503704e-06,3.4128124713897705,3.385312557220459,3.3014843463897705,3.328984260559082,3.439687490463257,3.5241405963897705,3.494140625,3.4653124809265137,3.377812385559082,3.4071874618530273,3.354687452316284,3.326484441757202,3.410937547683716,3.494140625,3.4053125381469727,3.434687614440918,3.377812385559082,8.0,0.8180312514305115,3.377812385559082,-0.03500000014901161,0.005301339086145163,0.0031515625305473804,0.0031531250569969416,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.0031906249932944775,96572.046875,7.25,0.0,99496.8359375,0.02939579077064991,429254.5,-6.486562597274315e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.167500082985498e-05,1.0056250175694004e-05,-2.796875014610123e-05,-0.014712500385940075,0.00011718749738065526,4.812499901163392e-05,0.000618593767285347,0.2299218773841858,0.15328125655651093,2.509999990463257,2.509999990463257,0.004000000189989805,0.981918215751648,0.8600000143051147,9.529999732971191,2.130000114440918,58.762474060058594,81.9000244140625,2.0464062799874227e-06,0.0021052630618214607,11.130624771118164,0.12109375,-0.00024061718431767076,0.00030335155315697193
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,15,-18,491,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,14,-18,492,First,1,1,None,0,-0.664843738079071,-0.6551562547683716,-0.7014062404632568,-0.7082812786102295,-0.560546875,-0.5817968845367432,-0.6898437738418579,-0.658984363079071,-0.6938281059265137,-0.7994531393051147,-0.00027578126173466444,-2.0590625808836194e-06,3.4128124713897705,3.385937452316284,3.302734375,3.3302342891693115,3.439687490463257,3.524765729904175,3.4953906536102295,3.465937614440918,3.3784375190734863,3.4078125953674316,3.3553125858306885,3.3271093368530273,3.4121875762939453,3.4953906536102295,3.405937433242798,3.4359374046325684,3.3784375190734863,8.0,0.8197187781333923,3.3790624141693115,-0.03375000134110451,0.005673362873494625,0.003601562464609742,0.0031631249003112316,0.0001203124993480742,0.0001390624966006726,0.000157812493853271,0.0031906249932944775,96398.8359375,,,99575.6171875,0.0319032147526741,429384.875,-6.580312401638366e-06,2.0999999046325684,1.3799999952316284,0.7200000286102295,-4.127500142203644e-05,1.0156250027648639e-05,-2.796875014610123e-05,-0.014750000089406967,0.00011718749738065526,4.812499901163392e-05,0.0006167187239043415,0.23054687678813934,0.1536979228258133,2.509999990463257,2.509999990463257,0.004000000189989805,0.9819324612617493,0.8600000143051147,9.529999732971191,2.130000114440918,59.158447265625,81.84271240234375,2.1440625914692646e-06,0.0021621622145175934,11.120624542236328,0.12309374660253525,-0.00024242968356702477,0.0002969687629956752
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,13,-18,493,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,12,-18,494,First,1,1,None,0,-0.6629687547683716,-0.6520312428474426,-0.692578136920929,-0.6976562738418579,-0.5567968487739563,-0.5786718726158142,-0.6879687309265137,-0.6583593487739563,-0.6932031512260437,-0.7994531393051147,-0.00027203126228414476,-2.0665625015681144e-06,3.4053125381469727,3.377187490463257,3.294609308242798,3.321484327316284,3.4315624237060547,3.5166406631469727,3.486640691757202,3.457812547683716,3.3709375858306885,3.3996875286102295,3.3478124141693115,3.3196094036102295,3.403437614440918,3.486640691757202,3.390312433242798,3.4278125762939453,3.3709375858306885,8.0,0.8185937404632568,3.3709375858306885,-0.03437500074505806,0.0032552082557231188,0.0031515625305473804,0.0031531250569969416,0.0001203124993480742,0.00014531250053551048,0.000157812493853271,0.0031906249932944775,96423.640625,,,99553.2890625,0.031436942517757416,429174.75,-6.695312549709342e-06,2.0999999046325684,1.3799999952316284,0.7200000286102295,-4.0175000322051346e-05,1.010624964692397e-05,-2.7656249585561454e-05,-0.017799999564886093,0.00011718749738065526,4.812499901163392e-05,0.0006235937471501529,0.23054687678813934,0.1536979228258133,2.5299999713897705,2.5299999713897705,0.012000000104308128,0.9819324612617493,0.8600000143051147,9.529999732971191,2.130000114440918,58.596675872802734,82.13311767578125,2.1579687654593727e-06,0.0021052630618214607,11.100312232971191,0.12109375,-0.0002383671817369759,0.0003034765541087836
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,11,-18,495,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,10,-18,496,First,1,1,None,0,-0.6604687571525574,-0.6495312452316284,-0.6882030963897705,-0.6932031512260437,-0.5548437237739563,-0.5774219036102295,-0.6873437762260437,-0.6564062237739563,-0.6919531226158142,-0.7975780963897705,-0.000273281242698431,-2.0753125227201963e-06,3.395937442779541,3.3784375190734863,3.297109365463257,3.3252344131469727,3.434687614440918,3.5191407203674316,3.489140510559082,3.460312604904175,3.3709375858306885,3.4021875858306885,3.3503124713897705,3.3221094608306885,3.406562566757202,3.4897656440734863,3.400937557220459,3.430312395095825,3.3709375858306885,8.0,0.8186562657356262,3.3734374046325684,-0.02250000089406967,0.0039992560632526875,0.003139062551781535,0.003138124942779541,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.003178125014528632,96233.1953125,7.25,0.0,99515.109375,0.032978981733322144,428931.1875,-6.574062354047783e-06,2.0999999046325684,1.3799999952316284,0.7200000286102295,-4.007499956060201e-05,9.931250133377034e-06,-2.890625000873115e-05,-0.020414061844348907,0.00011718749738065526,4.6875000407453626e-05,0.0006160937482491136,0.2299218773841858,0.15328125655651093,2.509999990463257,2.509999990463257,0.004000000189989805,0.9827315807342529,0.8600000143051147,9.529999732971191,2.130000114440918,58.910186767578125,82.28204345703125,2.1493749500223203e-06,0.0021621622145175934,11.107812881469727,0.12209375202655792,-0.00023967969173099846,0.00029678124701604247
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,9,-18,497,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,8,-18,498,First,1,1,None,0,-0.6617187261581421,-0.6507812738418579,-0.6875781416893005,-0.692578136920929,-0.5529687404632568,-0.576171875,-0.686718761920929,-0.6571093797683716,-0.6919531226158142,-0.8000781536102295,-0.00027078125276602805,-2.044062512140954e-06,3.4071874618530273,3.377812385559082,3.2964844703674316,3.323984384536743,3.4334375858306885,3.517890691757202,3.4878907203674316,3.4596874713897705,3.3709375858306885,3.401562452316284,3.3496875762939453,3.320859432220459,3.405937433242798,3.488515615463257,3.3996875286102295,3.4296875,3.3709375858306885,8.0,0.8171562552452087,3.372187614440918,-0.03500000014901161,0.0036272320430725813,0.0028765625320374966,0.003165625035762787,0.00011406250268919393,0.00014531250053551048,0.000157812493853271,0.0031906249932944775,96515.640625,,,99533.1484375,0.030316652730107307,429154.3125,-6.6078123381885234e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.0175000322051346e-05,1.0056250175694004e-05,-2.890625000873115e-05,-0.02062656171619892,0.00011718749738065526,4.812499901163392e-05,0.0006285937270149589,0.22929687798023224,0.15286459028720856,2.509999990463257,2.509999990463257,0.004000000189989805,0.9827044010162354,0.8600000143051147,9.529999732971191,2.130000114440918,58.68954849243164,82.1626968383789,1.9489061742206104e-06,0.0021621622145175934,11.100312232971191,0.12184374779462814,-0.0002374296891503036,0.00030010155751369894
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,7,-18,499,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,6,-18,500,First,1,1,None,0,-0.6623437404632568,-0.6514062285423279,-0.6888281106948853,-0.6938281059265137,-0.5535937547683716,-0.5749218463897705,-0.6854687333106995,-0.6571093797683716,-0.6919531226158142,-0.7982031106948853,-0.00026953124324791133,-2.047812586170039e-06,3.4153125286102295,3.387812614440918,3.3039844036102295,3.3321094512939453,3.442187547683716,3.5266406536102295,3.497265577316284,3.468437433242798,3.3784375190734863,3.409062385559082,3.357187509536743,3.328984260559082,3.4140625,3.497265577316284,3.408437490463257,3.437812566757202,3.3784375190734863,8.0,0.8182187676429749,3.3809375762939453,-0.03437500074505806,0.0062313987873494625,0.003176562488079071,0.003165625035762787,0.0001203124993480742,0.00014531250053551048,0.000157812493853271,0.0032031249720603228,96390.96875,,,99543.296875,0.03166792914271355,428896.4375,-6.73781232762849e-06,2.059999942779541,1.3600000143051147,0.699999988079071,-4.2100000428035855e-05,1.0306250260327943e-05,-2.890625000873115e-05,-0.020326562225818634,0.00011718749738065526,4.812499901163392e-05,0.0006223437376320362,0.2286718785762787,0.1524479240179062,2.5299999713897705,2.5299999713897705,0.012000000104308128,0.9819466471672058,0.8600000143051147,9.529999732971191,2.130000114440918,58.804420471191406,81.58940124511719,2.0192187548673246e-06,0.0021052630618214607,11.133125305175781,0.12284374982118607,-0.00023524218704551458,0.00029596875538118184
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,5,-18,501,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,4,-18,502,First,1,1,None,0,-0.6610937714576721,-0.6495312452316284,-0.686328113079071,-0.6900781393051147,-0.5479687452316284,-0.5711718797683716,-0.68359375,-0.6571093797683716,-0.6919531226158142,-0.7994531393051147,-0.0002632812538649887,-2.191562543885084e-06,3.4315624237060547,3.403437614440918,3.3196094036102295,3.3471875190734863,3.458437442779541,3.543515682220459,3.514765739440918,3.483515739440918,3.3965625762939453,3.4259374141693115,3.372812509536743,3.3446874618530273,3.430312395095825,3.5141406059265137,3.424687385559082,3.4540624618530273,3.372812509536743,10.0,0.820437490940094,3.372812509536743,-0.05874999985098839,0.0038132439367473125,0.003651562612503767,0.003183125052601099,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.003215624950826168,96352.9140625,7.25,0.0,99523.4609375,0.03185735270380974,428426.375,-6.625312380492687e-06,2.0999999046325684,1.3799999952316284,0.7200000286102295,-4.0350001654587686e-05,1.0306250260327943e-05,-2.890625000873115e-05,-0.01947656273841858,0.000110937500721775,4.6875000407453626e-05,0.0006092187250033021,0.22304686903953552,0.14869791269302368,2.549999952316284,2.549999952316284,0.019999999552965164,0.9819607734680176,0.8600000143051147,9.529999732971191,2.130000114440918,58.37375259399414,81.7010726928711,2.1171874777792254e-06,0.002051281975582242,11.100312232971191,0.12434375286102295,-0.00022492188145406544,0.0002924687578342855
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,4,-19,503,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,5,-19,504,First,1,1,None,0,-0.6623437404632568,-0.6514062285423279,-0.6888281106948853,-0.6938281059265137,-0.5517187714576721,-0.5742968916893005,-0.6854687333106995,-0.6577343940734863,-0.692578136920929,-0.8007031083106995,-0.00026953124324791133,-2.10781240639335e-06,3.4121875762939453,3.3846874237060547,3.3014843463897705,3.328984260559082,3.426562547683716,3.5191407203674316,3.494140625,3.4653124809265137,3.377812385559082,3.406562566757202,3.354687452316284,3.326484441757202,3.410937547683716,3.494765520095825,3.4053125381469727,3.434687614440918,3.377812385559082,8.0,0.8188124895095825,3.377812385559082,-0.03437500074505806,0.005301339086145163,0.005201562307775021,0.0032131250482052565,0.0001203124993480742,0.00014531250053551048,0.000157812493853271,0.003253124887123704,96494.5859375,,,99589.78125,0.031079499050974846,429245.5625,-6.8103126977803186e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.1474999306956306e-05,1.0281250069965608e-05,-2.890625000873115e-05,-0.01971406303346157,0.00011718749738065526,4.9375001253793016e-05,0.0006304687703959644,0.22804687917232513,0.15203124284744263,2.549999952316284,2.549999952316284,0.019999999552965164,0.9819324612617493,0.8600000143051147,9.529999732971191,2.130000114440918,58.576171875,81.6171875,2.16281250686734e-06,0.0021621622145175934,11.118124961853027,0.12259375303983688,-0.00023617969418410212,0.0002987890620715916
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,6,-19,505,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,7,-19,506,First,1,1,None,0,-0.6617187261581421,-0.6507812738418579,-0.6882030963897705,-0.7014062404632568,-0.5548437237739563,-0.5774219036102295,-0.686718761920929,-0.6577343940734863,-0.692578136920929,-0.7963281273841858,-0.0002782812516670674,-2.1228124751360156e-06,3.424687385559082,3.3971874713897705,3.313359260559082,3.340937614440918,3.4515624046325684,3.5372655391693115,3.507265567779541,3.4778125286102295,3.3896875381469727,3.419062614440918,3.366562604904175,3.338437557220459,3.421562433242798,3.507265567779541,3.4178125858306885,3.4471874237060547,3.366562604904175,10.0,0.8221250176429749,3.366562604904175,-0.058125000447034836,0.001953125,0.003076562425121665,0.003155624959617853,0.0001203124993480742,0.00014531250053551048,0.000157812493853271,0.0031906249932944775,96072.90625,,,99499.1015625,0.034434471279382706,428537.65625,-6.8415624809858855e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-3.9649999962421134e-05,1.0081250366056338e-05,-2.890625000873115e-05,-0.02091406285762787,0.00011718749738065526,4.812499901163392e-05,0.0006242187228053808,0.22929687798023224,0.15286459028720856,2.490000009536743,2.490000009536743,-0.004000000189989805,0.9827451109886169,0.8600000143051147,9.529999732971191,2.130000114440918,58.294090270996094,81.87132263183594,2.055781351373298e-06,0.0021621622145175934,11.075312614440918,0.12084375321865082,-0.00023961719125509262,0.0003056640562135726
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,8,-19,507,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,9,-19,508,First,1,1,None,0,-0.6617187261581421,-0.6507812738418579,-0.6888281106948853,-0.694531261920929,-0.5561718940734863,-0.5780468583106995,-0.6879687309265137,-0.6571093797683716,-0.6919531226158142,-0.7975780963897705,-0.00027078125276602805,-2.0765623958141077e-06,3.4021875858306885,3.374687433242798,3.292109489440918,3.3196094036102295,3.429062604904175,3.5135157108306885,3.483515739440918,3.4546875953674316,3.367812395095825,3.395937442779541,3.3446874618530273,3.3171093463897705,3.400937557220459,3.470937490463257,3.395312547683716,3.4253125190734863,3.374687433242798,1.0,0.8084999918937683,3.3740625381469727,-0.02812499925494194,0.004185267724096775,0.0032515625935047865,0.003123125061392784,0.00011406250268919393,0.0001390624966006726,0.000157812493853271,0.0031406250782310963,96412.3046875,7.25,0.0,99540.3359375,0.03142470121383667,428605.625,-6.477812348748557e-06,2.0799999237060547,1.3799999952316284,0.699999988079071,-4.0800001443130895e-05,1.0006249794969335e-05,-2.8281250706641003e-05,-0.020314062014222145,0.000110937500721775,4.6875000407453626e-05,0.000614218763075769,0.23054687678813934,0.1536979228258133,2.509999990463257,2.509999990463257,0.004000000189989805,0.9819466471672058,0.8600000143051147,9.529999732971191,2.130000114440918,58.942169189453125,82.49877166748047,1.9254687231295975e-06,0.002222222276031971,11.123125076293945,0.12134374678134918,-0.00023892968602012843,0.00030097656417638063
demofile.stdf,galaxy-t,2001/06/06-09:13:45,seqU738,ab248ea05,W118892,R114792-03,0,10,-19,509,First,1,1,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
